Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,217.899994,255.399994,213.899994,240.000000,232.796524,4885168
2020-03-30,238.699997,246.300003,229.000000,236.300003,229.207596,3466802
2020-04-06,241.600006,249.300003,233.199997,244.800003,237.452454,2513179
2020-04-13,244.800003,256.799988,236.399994,247.600006,240.168427,2686561
2020-04-20,248.000000,256.000000,241.600006,243.300003,235.997482,2300853
2020-04-27,245.699997,265.299988,242.699997,265.299988,257.337158,2433594
2020-05-04,255.000000,257.500000,243.000000,253.500000,250.210571,2589585
2020-05-11,254.199997,257.799988,239.100006,242.699997,239.550705,2125255
2020-05-18,248.100006,254.500000,243.399994,248.100006,244.880646,2525703
2020-05-25,250.199997,263.500000,244.800003,261.899994,258.501556,3213725
2020-06-01,264.000000,272.799988,257.500000,269.700012,266.200378,3495804
2020-06-08,268.100006,270.799988,260.799988,263.399994,259.982117,3192622
2020-06-15,260.000000,283.100006,255.100006,279.200012,275.577087,3386525
2020-06-22,277.100006,287.200012,274.700012,285.100006,281.400543,2329517
2020-06-29,283.500000,297.200012,280.399994,289.600006,285.842133,2433890
2020-07-06,295.000000,295.000000,281.100006,288.600006,288.600006,2122802
2020-07-13,290.500000,294.899994,282.299988,290.299988,290.299988,2638996
2020-07-20,290.299988,292.600006,283.299988,284.899994,284.899994,2107434
2020-07-27,283.799988,291.500000,279.500000,283.000000,283.000000,2733188
2020-08-03,283.000000,286.500000,275.399994,277.600006,277.600006,2533432
2020-08-10,278.399994,283.600006,275.100006,278.500000,278.500000,2009042
2020-08-17,279.600006,283.399994,272.299988,273.899994,273.899994,1924874
2020-08-24,275.899994,282.700012,275.100006,277.200012,277.200012,1647410
2020-08-31,278.700012,285.399994,272.600006,273.899994,273.899994,2182529
2020-09-07,274.500000,284.200012,273.799988,282.200012,282.200012,1899166
2020-09-14,283.299988,284.299988,274.500000,276.600006,276.600006,2458136
2020-09-21,276.000000,279.700012,269.299988,270.700012,270.700012,2470886
2020-09-28,273.299988,283.399994,273.200012,281.200012,281.200012,2362398
2020-10-05,282.500000,283.100006,276.600006,282.399994,282.399994,1622728
2020-10-12,283.000000,293.700012,281.200012,291.399994,291.399994,2033151
2020-10-19,293.299988,295.000000,278.000000,288.600006,288.600006,1788011
2020-10-26,286.799988,288.299988,275.100006,277.700012,277.700012,2887325
2020-11-02,279.299988,303.100006,276.799988,297.000000,297.000000,2618039
2020-11-09,300.299988,321.399994,299.399994,314.200012,314.200012,3417909
2020-11-16,316.000000,320.899994,309.799988,312.100006,312.100006,2495756
2020-11-23,313.200012,313.399994,295.600006,309.299988,309.299988,2729813
2020-11-30,308.799988,309.600006,302.799988,306.299988,306.299988,2383705
2020-12-07,306.200012,306.500000,299.200012,302.500000,302.500000,1852597
2020-12-14,303.700012,311.299988,301.799988,305.399994,305.399994,2750305
2020-12-21,303.100006,305.000000,294.200012,302.299988,302.299988,1267505
2020-12-28,303.899994,314.100006,301.200012,310.799988,310.799988,868550
2021-01-04,314.799988,316.100006,302.600006,306.299988,306.299988,1799365
2021-01-11,305.700012,306.600006,295.200012,298.399994,298.399994,1892924
2021-01-18,296.600006,298.799988,292.700012,296.299988,296.299988,1804186
2021-01-25,296.700012,302.899994,290.100006,290.100006,290.100006,2313973
2021-02-01,293.299988,306.700012,292.399994,305.600006,305.600006,2285914
2021-02-08,309.500000,319.399994,306.899994,318.299988,318.299988,2141166
2021-02-15,319.000000,320.000000,311.100006,316.100006,316.100006,2025456
2021-02-22,314.700012,314.700012,302.200012,302.799988,302.799988,1767000
2021-03-01,306.100006,311.799988,304.000000,308.799988,308.799988,1989948
2021-03-08,309.700012,323.500000,304.299988,322.600006,322.600006,2022825
2021-03-15,323.899994,326.399994,318.899994,320.399994,320.399994,2517146
2021-03-22,319.500000,324.899994,317.100006,321.700012,321.700012,594624
