Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,65.940002,84.040001,63.520000,79.480003,76.963562,12940898
2020-03-30,79.760002,81.059998,71.400002,74.500000,72.141235,9946245
2020-04-06,77.800003,84.720001,77.099998,80.260002,77.718872,7196749
2020-04-13,80.260002,84.940002,78.400002,82.879997,80.255913,6012871
2020-04-20,84.360001,86.040001,80.160004,80.180000,77.641403,6296694
2020-04-27,82.000000,87.339996,80.839996,83.459999,80.817551,5715156
2020-05-04,81.000000,81.980003,78.519997,80.419998,77.873802,6070378
2020-05-11,80.599998,82.080002,75.040001,78.139999,78.139999,5850729
2020-05-18,79.300003,84.839996,78.980003,84.300003,84.300003,5525156
2020-05-25,85.000000,90.400002,84.040001,89.239998,89.239998,6824590
2020-06-01,90.500000,98.580002,89.480003,98.379997,98.379997,7272082
2020-06-08,97.160004,97.440002,89.760002,91.120003,91.120003,8090127
2020-06-15,88.400002,97.699997,87.779999,95.760002,95.760002,8260644
2020-06-22,95.000000,99.699997,93.959999,97.300003,97.300003,6611843
2020-06-29,97.199997,99.580002,95.820000,97.860001,97.860001,6339213
2020-07-06,99.820000,100.699997,95.339996,96.860001,96.860001,5726306
2020-07-13,97.779999,101.599998,95.779999,100.949997,100.949997,6134239
2020-07-20,101.050003,102.699997,98.459999,99.180000,99.180000,4319170
2020-07-27,99.000000,104.699997,98.059998,98.239998,98.239998,6019733
2020-08-03,98.339996,103.500000,98.260002,103.099998,103.099998,4698568
2020-08-10,103.199997,105.550003,102.050003,102.550003,102.550003,4037133
2020-08-17,102.599998,104.849998,101.900002,103.449997,103.449997,3981317
2020-08-24,104.349998,108.199997,104.150002,105.000000,105.000000,4146746
2020-08-31,105.349998,107.699997,102.550003,103.099998,103.099998,5474605
2020-09-07,103.099998,108.250000,102.650002,106.599998,106.599998,4700200
2020-09-14,107.150002,108.500000,105.550003,105.550003,105.550003,6258821
2020-09-21,105.000000,105.000000,100.650002,102.849998,102.849998,6419970
2020-09-28,103.849998,108.900002,103.650002,106.699997,106.699997,5712194
2020-10-05,107.250000,109.199997,106.400002,108.599998,108.599998,4025762
2020-10-12,109.199997,111.750000,107.650002,108.650002,108.650002,4802605
2020-10-19,109.199997,111.300003,102.900002,110.199997,110.199997,4738549
2020-10-26,108.849998,109.400002,101.250000,104.199997,104.199997,7027306
2020-11-02,104.500000,114.199997,104.199997,113.250000,113.250000,5835718
2020-11-09,115.000000,121.800003,114.750000,117.449997,117.449997,8078312
2020-11-16,118.150002,120.550003,115.949997,120.550003,120.550003,6375361
2020-11-23,121.349998,121.400002,116.400002,117.449997,117.449997,5451448
2020-11-30,116.949997,118.949997,112.250000,113.949997,113.949997,7273150
2020-12-07,113.500000,116.000000,113.050003,114.650002,114.650002,4897980
2020-12-14,115.849998,117.800003,114.699997,117.349998,117.349998,6948822
2020-12-21,115.599998,117.750000,113.349998,116.949997,116.949997,2687112
2020-12-28,118.050003,121.150002,117.250000,118.300003,118.300003,2323912
2021-01-04,120.650002,128.149994,119.099998,127.849998,127.849998,5878462
2021-01-11,127.099998,127.699997,122.449997,124.349998,124.349998,5082471
2021-01-18,123.349998,125.949997,121.400002,125.349998,125.349998,4429730
2021-01-25,126.000000,127.400002,119.849998,120.949997,120.949997,5932955
2021-02-01,122.250000,127.550003,121.599998,124.599998,124.599998,5406035
2021-02-08,124.849998,129.399994,122.599998,129.000000,129.000000,5594289
2021-02-15,129.899994,130.699997,125.300003,128.600006,128.600006,4987674
2021-02-22,128.000000,128.000000,122.300003,122.849998,122.849998,6115369
2021-03-01,124.199997,127.500000,121.400002,122.550003,122.550003,5503166
2021-03-08,123.199997,129.100006,122.150002,126.500000,126.500000,5034120
2021-03-15,127.000000,127.900002,125.349998,126.050003,126.050003,5245197
2021-03-22,125.349998,127.900002,124.650002,126.300003,126.300003,1829730
